CL	Count
KGN_COSMIC	416
KINGS-1_COSMIC	421
KLE_COSMIC	214
KM-H2_COSMIC	1091
KM12_COSMIC	3854
KMH-2_COSMIC	1114
KMOE-2_COSMIC	1041
KMRC-1_COSMIC	510
KMRC-20_COSMIC	398
KMS-11_COSMIC	864
KMS-12-BM_COSMIC	556
KNS-42_COSMIC	559
KNS-62_COSMIC	831
KNS-81-FD_COSMIC	501
KO52_COSMIC	443
KON_COSMIC	559
KOPN-8_COSMIC	497
KOSC-2_COSMIC	485
KP-1N_COSMIC	312
KP-2_COSMIC	520
KP-3_COSMIC	420
KP-4_COSMIC	413
KP-N-RT-BM-1_COSMIC	522
KP-N-YN_COSMIC	458
KP-N-YS_COSMIC	484
KS-1_COSMIC	602
KU-19-19_COSMIC	554
KU812_COSMIC	327
KURAMOCHI_COSMIC	435
KY821_COSMIC	433
KYAE-1_COSMIC	611
KYM-1_COSMIC	728
KYSE-140_COSMIC	987
KYSE-150_COSMIC	1039
KYSE-180_COSMIC	787
KYSE-220_COSMIC	832
KYSE-270_COSMIC	1022
KYSE-30_COSMIC	974
KYSE-410_COSMIC	966
KYSE-450_COSMIC	926
KYSE-50_COSMIC	570
KYSE-510_COSMIC	898
KYSE-520_COSMIC	639
KYSE-70_COSMIC	753
L-1236_COSMIC	693
L-363_COSMIC	384
L-428_COSMIC	724
L-540_COSMIC	942
LAMA-84_COSMIC	308
LAN-6_COSMIC	391
LB1047-RCC_COSMIC	93
LB2241-RCC_COSMIC	62
LB2518-MEL_COSMIC	483
LB373-MEL-D_COSMIC	110
LB647-SCLC_COSMIC	351
LB771-HNC_COSMIC	160
LB831-BLC_COSMIC	223
LB996-RCC_COSMIC	121
LC-1-SQ_COSMIC	706
LC-2-AD_COSMIC	587
LC4-1_COSMIC	469
LCLC-103H_COSMIC	488
LCLC-97TM1_COSMIC	450
LIM1215_COSMIC	987
LK-2_COSMIC	602
LN-18_COSMIC	692
LN-229_COSMIC	414
LN-405_COSMIC	254
LNCAP-CLONE-FGC_COSMIC	3911
LNZTA3WT4_COSMIC	600
LOU-NH91_COSMIC	240
LOUCY_COSMIC	261
LOVO_COSMIC	2314
LOXIMVI_COSMIC	750
LP-1_COSMIC	330
LS-1034_COSMIC	155
LS-123_COSMIC	352
LS-180_COSMIC	2731
LS-411N_COSMIC	5103
LS-513_COSMIC	326
LU-134-A_COSMIC	560
LU-135_COSMIC	629
LU-139_COSMIC	676
LU-165_COSMIC	759
LU-65_COSMIC	537
LU-99A_COSMIC	492
LXF-289_COSMIC	666
M059J_COSMIC	205
M14_COSMIC	1828
MC-1010_COSMIC	217
MC-CAR_COSMIC	296
MC-IXC_COSMIC	280
MC116_COSMIC	364
MCAS_COSMIC	733
MCC13_COSMIC	6020
MCC26_COSMIC	1743
MCF7_COSMIC	492
MDA-MB-157_COSMIC	415
MDA-MB-175-VII_COSMIC	463
MDA-MB-231_COSMIC	522
MDA-MB-330_COSMIC	408
MDA-MB-361_COSMIC	1422
MDA-MB-415_COSMIC	456
MDA-MB-436_COSMIC	404
MDA-MB-453_COSMIC	982
MDA-MB-468_COSMIC	515
MDST8_COSMIC	1142
ME-180_COSMIC	287
ME-1_COSMIC	465
MEG-01_COSMIC	409
MEL-HO_COSMIC	357
MEL-JUSO_COSMIC	1204
MES-SA_COSMIC	455
MEWO_COSMIC	7326
