CL	Count
RT11284_CCLE	7961
RT112_CCLE	9368
RT4_CCLE	9226
S117_CCLE	8129
SAOS2_CCLE	8603
SBC5_CCLE	10560
SCABER_CCLE	10529
SCC15_CCLE	8472
SCC25_CCLE	5442
SCC4_CCLE	8870
SCC9_CCLE	9930
SCLC21H_CCLE	7951
SEM_CCLE	7901
SET2_CCLE	8328
SF126_CCLE	8440
SF295_CCLE	7953
SH10TC_CCLE	6342
SH4_CCLE	8670
SHP77_CCLE	9186
SHSY5Y_CCLE	8237
SIGM5_CCLE	7157
SIMA_CCLE	7060
SJRH30_CCLE	8828
SJSA1_CCLE	10513
SKBR3_CCLE	8371
SKCO1_CCLE	10361
SKES1_CCLE	8535
SKHEP1_CCLE	8883
SKLMS1_CCLE	8768
SKLU1_CCLE	8390
SKM1_CCLE	8792
SKMEL1_CCLE	9077
SKMEL24_CCLE	8265
SKMEL28_CCLE	8551
SKMEL2_CCLE	7482
SKMEL30_CCLE	6147
SKMEL3_CCLE	8159
SKMEL5_CCLE	9232
SKMES1_CCLE	6833
SKNAS_CCLE	8193
SKNDZ_CCLE	7864
SKNFI_CCLE	10044
SKNMC_CCLE	7565
SKNSH_CCLE	7275
SKOV3_CCLE	9278
SKUT1_CCLE	8776
SNGM_CCLE	9235
SNU1033_CCLE	8280
SNU1040_CCLE	14543
SNU1041_CCLE	7166
SNU1066_CCLE	4156
SNU1076_CCLE	9473
SNU1077_CCLE	8294
SNU1079_CCLE	8912
SNU1105_CCLE	9382
SNU1196_CCLE	8383
SNU1197_CCLE	8539
SNU119_CCLE	8943
SNU1214_CCLE	9577
SNU1272_CCLE	8703
SNU175_CCLE	12361
SNU182_CCLE	8860
SNU1_CCLE	10114
SNU201_CCLE	8730
SNU213_CCLE	9636
SNU216_CCLE	8004
SNU245_CCLE	8932
SNU283_CCLE	8451
SNU308_CCLE	9342
SNU324_CCLE	9633
SNU349_CCLE	9787
SNU387_CCLE	6074
SNU398_CCLE	8019
SNU407_CCLE	9077
SNU410_CCLE	9089
SNU423_CCLE	8567
SNU449_CCLE	8710
SNU466_CCLE	9643
SNU46_CCLE	8377
SNU475_CCLE	8861
SNU478_CCLE	9131
SNU489_CCLE	9025
SNU503_CCLE	8598
SNU520_CCLE	10713
SNU5_CCLE	8701
SNU601_CCLE	9460
SNU620_CCLE	8658
SNU626_CCLE	8234
SNU668_CCLE	7221
SNU685_CCLE	8748
SNU719_CCLE	9867
SNU738_CCLE	8738
SNU761_CCLE	8112
SNU81_CCLE	12692
SNU840_CCLE	8807
SNU869_CCLE	8822
SNU878_CCLE	8636
SNU886_CCLE	9502
SNU899_CCLE	8994
SNU8_CCLE	8857
SNUC2A_CCLE	10232
SNUC4_CCLE	10142
SNUC5_CCLE	10879
SQ1_CCLE	8264
SR786_CCLE	7661
ST486_CCLE	9039
SU8686_CCLE	7378
SUDHL10_CCLE	7136
SUDHL1_CCLE	9242
SUDHL4_CCLE	7673
SUDHL5_CCLE	8912
SUDHL6_CCLE	8548
SUDHL8_CCLE	6574
SUPB15_CCLE	9070
SUPHD1_CCLE	7857
SUPM2_CCLE	7604
SUPT11_CCLE	7027
SW1088_CCLE	8274
SW1116_CCLE	7403
SW1271_CCLE	8779
SW1353_CCLE	6086
SW1417_CCLE	6522
SW1463_CCLE	8597
SW1573_CCLE	8494
SW1710_CCLE	9058
SW1783_CCLE	8554
SW1990_CCLE	5620
SW403_CCLE	8885
SW480_CCLE	7704
SW48_CCLE	11660
SW579_CCLE	9159
SW620_CCLE	7998
SW780_CCLE	9350
SW837_CCLE	7154
SW900_CCLE	8022
SW948_CCLE	8772
T173_CCLE	8844
T3M10_CCLE	8600
T3M4_CCLE	7027
T47D_CCLE	8313
T84_CCLE	8118
T98G_CCLE	8940
TC71_CCLE	1977
TCCPAN2_CCLE	9326
TE10_CCLE	8296
TE11_CCLE	7899
TE125T_CCLE	9847
TE14_CCLE	8567
TE159T_CCLE	8763
TE1_CCLE	9322
TE441T_CCLE	9421
TE4_CCLE	9190
TE5_CCLE	9092
TE617T_CCLE	9030
TE6_CCLE	9180
TE8_CCLE	8028
TE9_CCLE	7873
TEN_CCLE	3646
TF1_CCLE	9345
TGBC11TKB_CCLE	10440
THP1_CCLE	9228
TM31_CCLE	7786
TO175T_CCLE	9290
TOLEDO_CCLE	9375
TOV21G_CCLE	9973
TT2609C02_CCLE	7735
TT_CCLE	11063
TUHR10TKB_CCLE	9145
TUHR14TKB_CCLE	8704
TUHR4TKB_CCLE	8544
TYKNU_CCLE	8957
U138MG_CCLE	8457
U266B1_CCLE	8763
U2OS_CCLE	9053
U87MG_CCLE	8766
U937_CCLE	10188
UACC257_CCLE	8644
UACC62_CCLE	4546
UACC812_CCLE	9663
UACC893_CCLE	6824
UBLC1_CCLE	7016
